SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
GRASIM	EQ	2,652.00	1.36	1,80,463.07	2.98	78.86
NBCC	EQ	84.35	1.76	22,774.50	92.83	77.66
GPIL	EQ	205.00	1.61	13,713.99	37.43	76.90
STAR	EQ	701.10	4.71	6,461.53	10.95	76.90
IEX	EQ	182.32	2.43	16,257.34	42.38	76.55
SJVN	EQ	95.95	2.82	37,706.38	80.45	76.32
CREDITACC	EQ	1,010.85	3.26	16,145.26	7.63	76.01
ASTRAL	EQ	1,359.00	1.37	36,507.46	5.59	75.36
IDBI	EQ	80.85	3.12	86,933.17	93.84	75.00
PARAGMILK	EQ	182.00	7.83	2,172.64	41.27	74.59
TORNTPHARM	EQ	3,244.45	1.16	1,09,806.93	2.29	74.58
HESTERBIO	EQ	1,800.00	0.74	1,531.24	4.17	74.56
BALUFORGE	EQ	667.00	3.00	7,299.77	11.12	73.61
MOREPENLAB	EQ	53.10	7.23	2,909.63	140.67	73.30
TARIL	EQ	514.00	0.42	15,428.52	14.05	72.32
GRANULES	EQ	491.00	1.62	11,906.44	14.61	72.15
FSL	EQ	344.95	2.69	24,042.70	20.85	71.18
NESTLEIND	EQ	2,240.00	1.33	2,15,971.20	3.18	70.82
AVALON	EQ	805.00	0.23	5,325.65	8.67	70.65
LICI	EQ	816.90	0.73	5,16,689.06	8.66	70.38
CARTRADE	EQ	1,681.00	1.99	7,974.30	4.15	69.79
AADHARHFC	EQ	456.90	2.92	19,709.96	15.17	68.99
HAVELLS	EQ	1,515.20	0.31	94,994.21	4.53	68.65
HSCL	EQ	457.00	0.46	22,561.23	14.93	68.61
KIRLOSENG	EQ	751.50	3.06	10,910.22	9.04	67.89
INTERARCH	EQ	1,669.00	7.43	2,777.29	4.14	67.11
KFINTECH	EQ	1,068.80	2.51	18,391.43	6.22	66.38
IRCTC	EQ	739.50	1.66	59,160.00	9.03	66.29
JPPOWER	EQ	15.33	4.64	10,506.35	439.79	66.06
RAILTEL	EQ	312.00	1.60	10,013.28	21.16	65.56
ATGL	EQ	606.00	1.21	66,648.49	10.80	64.91
LEMONTREE	EQ	143.68	2.11	11,383.00	44.81	64.04
DELHIVERY	EQ	263.50	1.74	19,646.07	24.29	63.99
RBLBANK	EQ	175.30	2.32	10,656.07	36.69	63.74
