Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
APOLLOPIPE,EQ,402.9,0.04,1774.7,0.56,2.22
BTML,EQ,9.51,4.97,171.65,23.42,2.22
BIOFILCHEM,EQ,44.12,2.39,71.8,4.31,2.03
AAREYDRUGS,EQ,46.35,3.95,131.42,4.09,1.95
KOTYARK,ST,377.5,4.99,388.04,0.51,1.91
RCOM,BE,1.7,4.94,470.14,116.96,1.88
SENSEXIETF,EQ,868,0.54,17682.09,0.21,1.8
364D110425,TB,99.75,0.01,7984.08,1.8,1.8
LEMERITE,ST,299.2,1.94,702.55,0.61,1.77
FELIX,SM,173,2.64,236.54,1.01,1.75
KDL,ST,327.8,5,394.15,0.51,1.64
BALAJITELE,EQ,71.1,2.67,850.28,2.3,1.63
SILGO,EQ,49.31,4.98,91.21,3.33,1.62
APS,SM,389,0.45,767.89,0.42,1.62
ROSSELLIND,EQ,70.92,3.35,267.34,2.14,1.54
GODAVARIB,BE,173.5,1.72,887.9,0.85,1.49
ARROWGREEN,BE,604,0.78,911.31,0.25,1.46
INDUSINVIT,IV,110,0.61,4872.32,1.32,1.45
SIRCA,EQ,259.5,1.18,1422.29,0.56,1.43
APCOTEXIND,EQ,334,1.26,1731.62,0.42,1.38
RUSTOMJEE,EQ,530,2.74,6679.4,0.26,1.36
OLIL,ST,157.5,4.44,56.76,0.88,1.33
SONAMLTD,EQ,45,1.37,180.14,2.93,1.31
BANKNIFTY1,EQ,529.58,0.04,4934.86,0.25,1.3
ASHIMASYN,EQ,21.7,0.46,415.9,6.05,1.28
PRAMARA,SM,123.85,0.16,135.88,1.04,1.28
WENDT,EQ,9727,1.08,1945.4,0.01,1.28
ZODIAC,EQ,409.95,0.79,618.87,0.31,1.27
SINDHUTRAD,EQ,17.99,2.27,2773.93,7.03,1.25
JLHL,EQ,1560,0.08,10228.3,0.08,1.22
NITCO,EQ,120,0.81,862.31,1.02,1.21
SASTASUNDR,EQ,260.05,0.84,827.23,0.47,1.2
NAGAFERT,BE,5.1,4.29,305.01,23.1,1.16
RPPINFRA,BE,159.8,0.6,608.61,0.73,1.16
HDFCNIF100,EQ,24.99,2.63,59.83,4.69,1.12
PROZONER,BE,33.5,2.32,511.22,3.32,1.11
ABSMARINE,ST,112.85,4.98,277.05,0.98,1.1
JPOLYINVST,EQ,735,2.64,772.63,0.15,1.08
SARVESHWAR,EQ,6.8,0.15,665.59,15.36,1.03
KCEIL,ST,196.9,4.99,215.8,0.53,1.03
BFSI,EQ,25.46,0.43,391.8,3.91,1
VINYAS,SM,817.5,3.12,1028.8,0.13,1
TREL,EQ,36.4,0.89,894.33,2.72,0.98
SRD,EQ,57.99,1.83,370.94,1.66,0.94
VAISHALI,EQ,12.4,2.06,132.92,7.45,0.92
ZEELEARN,EQ,6.38,0.63,208.67,14.72,0.92
INM,SM,440,5.3,307.8,0.21,0.91
EBBETF0431,EQ,1330.71,0.16,12648.69,0.07,0.91
PRIZOR,SM,127.85,4.97,136.69,0.72,0.9
BALAJIPHOS,SM,120.5,3.21,286.51,0.76,0.89
VARDMNPOLY,EQ,10.09,2.54,439.89,8.52,0.87
RKSWAMY,EQ,225,0.29,1135.74,0.38,0.86
DURLAX,SM,53.5,11.46,88.96,1.56,0.85
HDFCSENSEX,EQ,85.34,0.09,956.86,0.94,0.79
KANANIIND,EQ,2.6,0.78,51.45,30.52,0.79
ARISTO,SM,148,8.03,100.76,0.58,0.77
TRUST,ST,88.7,4.97,211.33,0.86,0.77
NBIFIN,EQ,2434.55,0.52,719.37,0.03,0.76
EBBETF0425,EQ,1290.24,0.05,9809.25,0.06,0.74
BESTAGRO,BE,279.2,1.99,660.16,0.26,0.72
SGIL,EQ,419.8,3.32,652.5,0.17,0.71
BEWLTD,SM,169,1.2,220.94,0.41,0.69
VERTOZ,BE,8.45,1.93,720.19,8.16,0.69
MACPOWER,BE,801.2,2,801.53,0.08,0.68
OWAIS,ST,593.85,1.99,1079.76,0.11,0.66
SMSLIFE,EQ,1219.4,1.39,368.66,0.05,0.65
EIMCOELECO,EQ,1480.15,0.14,853.81,0.04,0.64
726GS2033,GS,106,0.86,167480,0.61,0.64
AAATECH,EQ,78.3,0.95,100.43,0.81,0.64
SHALPAINTS,EQ,102.85,0.19,860.97,0.62,0.63
NIRMAN,ST,234,2.83,187.43,0.27,0.62
FOCUS,EQ,94.5,5,635.54,0.65,0.62
EFFWA,SM,192.75,0.13,446.16,0.31,0.61
MIRCELECTR,BE,13,0.78,300.24,4.53,0.59
YAARI,EQ,17.17,2.94,172.46,3.43,0.59
MANOMAY,EQ,180,6.16,324.88,0.33,0.59
SESHAPAPER,EQ,270.4,0.15,1705.36,0.22,0.59
SETF10GILT,EQ,252.96,0.67,35.13,0.23,0.59
EXXARO,EQ,6.41,3.05,286.79,9.31,0.58
NILKAMAL,EQ,1635,1.34,2439.83,0.04,0.57
RAJMET,BE,4.96,4.86,137.13,11.09,0.54
AONELIQUID,EQ,1002.25,0.04,26.3,0.05,0.54
865IRFC29,NA,1100,0.46,757.2,0.05,0.53
SADHNANIQ,BE,18.52,4.99,610.07,2.83,0.52
FCSSOFT,EQ,2.64,0.76,451.32,19.82,0.52
MANAKCOAT,BE,88.5,2.06,657.28,0.56,0.5
MUFIN,EQ,69.9,0.37,1126.61,0.71,0.49
TRANSTEEL,SM,103.9,0.24,209.65,0.46,0.47
HDFCLIQUID,EQ,1005.62,0.04,29.88,0.05,0.47
EBBETF0433,EQ,1221,0.33,6259.54,0.04,0.45
PILITA,EQ,15,0.07,352.5,2.99,0.45
COFFEEDAY,BE,29,0.31,612.63,1.5,0.44
ABGSEC,EQ,108.5,0.42,45.07,0.4,0.43
718GS2037,GS,106.4,0.34,183008,0.39,0.42
IEL,BE,18.2,4.42,360.97,2.3,0.42
PAR,BE,97.2,4.76,119.6,0.43,0.42
MAXVOLT,SM,171,0.62,186.46,0.24,0.42
GOLDTECH,EQ,53.5,2.2,185.01,0.79,0.41
TRU,BE,8.64,4.98,101,4.81,0.41
706GS2028,GS,105.45,0.44,117049.5,0.39,0.41
INTLCONV,EQ,70.49,0.18,446.76,0.58,0.4
SANGINITA,EQ,12.15,4.92,31.47,3.06,0.37
TIRUPATI,SM,720,2.85,729.36,0.05,0.36
725GS2063,GS,107.35,0.15,257640,0.33,0.36
PEARLPOLY,EQ,27.66,1.28,46.57,1.26,0.35
VMARCIND,ST,254.65,4.99,621.87,0.14,0.34
AARON,EQ,347,2.5,363.42,0.1,0.34
GSMFOILS,ST,132.3,5,169.5,0.26,0.34
WOL3D,SM,141.95,5.15,91.59,0.24,0.33
CAPTRUST,EQ,92,0.28,156.49,0.35,0.32
COASTCORP,EQ,37,3.15,247.82,0.87,0.32
INDOBORAX,EQ,176.5,0.27,566.39,0.18,0.31
EMKAYTOOLS,SM,450,8.79,480.21,0.07,0.31
PASUPTAC,BE,52.25,2.63,465.72,0.58,0.3
VLEGOV,BE,37.72,1.97,399.65,0.79,0.3
769NHAI31,NE,1137,0.25,1282.16,0.03,0.3
ATAM,EQ,87.8,0.52,100.65,0.33,0.29
IPHL,ST,54.85,4.98,137.07,0.53,0.29
GANGAFORGE,EQ,5.02,1.62,67.67,5.63,0.29
ACEINTEG,EQ,25.45,10.32,25.96,1.1,0.28
865TCAPS27,N8,1070,0.31,642.42,0.03,0.28
KORE,ST,189,4.42,224.44,0.14,0.28
AKSHOPTFBR,EQ,9.54,4.95,155.21,2.83,0.27
BHAGERIA,EQ,157.9,0.56,689.14,0.17,0.27
ASMS,EQ,15.38,0.92,468.44,1.74,0.26
TBI,ST,93.8,4.86,170.33,0.28,0.26
ROXHITECH,ST,45,2.97,102.76,0.59,0.26
ANLON,SM,335.5,6.54,209.87,0.08,0.26
TERASOFT,BE,200.2,2,250.49,0.13,0.26
ELECTHERM,BE,911.55,2,1161.57,0.03,0.26
SBIETFPB,EQ,260.7,0.25,21.45,0.1,0.26
LAGNAM,EQ,112,3.39,197.89,0.23,0.25
YASHOPTICS,SM,79.25,0.38,196.27,0.32,0.25
RACLGEAR,EQ,770,2.63,830.18,0.03,0.25
KALANA,SM,48.25,0.1,62.91,0.52,0.25
OCCL,EQ,174.95,0.15,174.78,0.14,0.24
DRONE,ST,111.9,0.67,273.04,0.21,0.24
764NABAR31,N2,1100,0.01,0,0.02,0.24
NEPHROCARE,SM,144.9,0.52,238.89,0.16,0.24
SDREAMS,ST,108.6,4.98,203.33,0.22,0.24
BBETF0432,EQ,1251.5,0.2,10701.74,0.02,0.23
MEGASOFT,BE,53.1,2,391.72,0.43,0.22
NECCLTD,EQ,24,0.93,230.29,0.95,0.22
737GS2028,GS,105.95,0.81,79462.5,0.21,0.22
KKJEWELS,ST,131.25,1.98,137.62,0.17,0.22
GPECO,ST,281.3,1.99,329.42,0.08,0.22
RETAIL,EQ,39.5,2.07,25.69,0.55,0.21
STARTECK,EQ,284,0.07,281.45,0.08,0.21
SHEMAROO,BE,102,1.82,278.67,0.21,0.21
KBCGLOBAL,BE,0.54,3.85,282.35,38.34,0.21
935TSI31,N0,103429,0.22,1292.25,0,0.21
DELTIC,ST,82.9,4.08,126.75,0.25,0.2
GSS,EQ,37.95,0.93,99.27,0.54,0.2
CCCL,BE,15.25,1.26,637.74,1.31,0.2
GINNIFILA,EQ,21.85,0.64,187.15,0.93,0.2
TGL,ST,328.05,1.99,393.65,0.06,0.2
BAGFILMS,EQ,6.42,3.88,126.95,3.02,0.19
KANDARP,ST,82,4.33,73.58,0.24,0.19
733GS2026,GS,104.25,0.96,47955,0.18,0.19
ROSSTECH,BE,288,0.3,1085.66,0.07,0.19
NMSTEEL,ST,28.25,4.82,48.84,0.66,0.19
MONOPHARMA,SM,23.55,1.07,41.61,0.82,0.18
717GS2030,GS,106,0.95,109180,0.17,0.18
SAMPANN,EQ,27.34,0.81,111.03,0.66,0.18
IVC,EQ,9.1,0.44,285.77,1.92,0.17
KONSTELEC,ST,73.9,4.97,111.59,0.23,0.17
INNOVANA,EQ,317,0.44,649.85,0.05,0.17
KNAGRI,SM,218,1.4,544.98,0.08,0.16
RSSOFTWARE,BE,69.19,0.01,178.73,0.22,0.16
CROWN,EQ,179.59,0.92,201.56,0.08,0.15
AHLADA,EQ,59.88,0.18,77.37,0.25,0.15
BOHRAIND,BE,35.48,1.98,50.73,0.43,0.15
RAPPID,SM,275,2.86,142.78,0.05,0.15
INDTERRAIN,EQ,34.5,0.38,157.73,0.45,0.15
GVKPIL,BE,3.34,1.83,527.46,4.45,0.15
BBTCL,EQ,141.5,0.27,290.23,0.11,0.15
IEML,ST,122.75,1.99,150.03,0.12,0.15
SFML,ST,32.4,2.21,80.45,0.45,0.15
SHAHALLOYS,EQ,56.98,5.77,112.81,0.26,0.15
MCON,SM,145,4.69,106.27,0.1,0.15
738REC27TF,N2,1066,0.44,908.27,0.01,0.14
SADBHAV,BE,11.39,1.97,195.42,1.25,0.14
COMSYN,BE,81.63,2,326.13,0.17,0.14
ASLIND,SM,47.05,4.91,49.01,0.3,0.14
HDIL,BZ,3.08,4.76,145.99,4.62,0.14
CINELINE,EQ,98.79,5,338.52,0.14,0.14
PRITI,EQ,89.6,2.83,119.65,0.16,0.14
VISASTEEL,BE,35.82,3.47,414.76,0.38,0.14
DUCOL,SM,120,0.04,195.05,0.11,0.14
RUBFILA,EQ,66.69,0.45,361.91,0.2,0.13
RAMANEWS,BE,35.49,1.98,523.56,0.37,0.13
NARMADA,BE,17.95,1.36,68.1,0.72,0.13
RILINFRA,SM,35.9,3.31,66.79,0.37,0.13
AARVI,EQ,105.9,1.67,156.85,0.12,0.13
CTE,BE,41.51,4.98,81.49,0.3,0.12
SBGLP,BE,37.63,1.98,652.57,0.33,0.12
LICNETFGSC,EQ,27.75,0.11,2417.23,0.44,0.12
SGBJUN30,GB,8980,0.45,2296.96,0,0.12
VILINBIO,SM,28,4.48,39.06,0.44,0.12
HDFCBSE500,EQ,34.1,0.15,15.65,0.34,0.12
ABSLNN50ET,EQ,65.8,0.18,129.07,0.18,0.11
RBMINFRA,ST,355.7,1.99,359.36,0.03,0.11
MEGASTAR,EQ,199.89,0.65,225.75,0.06,0.11
OBSCP,ST,157,1.98,383.9,0.07,0.11
695GS2061,GS,103.55,3.81,152218.5,0.11,0.11
SPCL,ST,122.65,2,295.78,0.09,0.11
CRAYONS,ST,54.5,1.3,133.14,0.2,0.11
MNC,EQ,26.65,0.34,31.2,0.42,0.11
AKSHARCHEM,EQ,214.99,1.14,172.7,0.05,0.11
JMA,EQ,79.6,0.51,181.81,0.14,0.11
PENINLAND,BE,24.51,2,794.13,0.44,0.11
NILASPACES,BE,11.96,1.79,471.09,0.9,0.11
736PFCL28,N2,1057.01,1.05,0,0.01,0.11
GREENCHEF,SM,63.95,1.03,148.82,0.17,0.11
AIROLAM,EQ,98,1.85,147.02,0.11,0.11
888REC29,NF,1140,0.44,333.5,0.01,0.1
MAL,SM,33,4.43,81.46,0.32,0.1
RELIABLE,EQ,78,4.9,80.5,0.14,0.1
SATECH,ST,60.95,1.92,79.58,0.17,0.1
ROLLT,BE,1.46,2.82,36.52,7.11,0.1
